City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Andros Town,BS,2022-01-13 02:47:59,24.7,-77.7667,69.76,75,85,12.97,overcast clouds
1,Clyde River,CA,2022-01-13 02:48:00,70.4692,-68.5914,-30.77,68,0,2.3,clear sky
2,Albany,US,2022-01-13 02:48:00,42.6001,-73.9662,32.61,67,100,2.82,overcast clouds
3,Kodiak,US,2022-01-13 02:48:00,57.79,-152.4072,29.71,86,0,0.0,clear sky
4,Hermanus,ZA,2022-01-13 02:48:01,-34.4187,19.2345,68.9,82,100,17.0,overcast clouds
5,Rikitea,PF,2022-01-13 02:48:01,-23.1203,-134.9692,77.07,75,6,19.22,light rain
6,Qaanaaq,GL,2022-01-13 02:48:01,77.484,-69.3632,-2.79,96,100,2.42,overcast clouds
7,Punta Arenas,CL,2022-01-13 02:48:01,-53.15,-70.9167,46.51,57,40,11.5,scattered clouds
8,Lakatoro,VU,2022-01-13 02:48:02,-16.0999,167.4164,86.77,59,4,6.8,clear sky
9,Ambilobe,MG,2022-01-13 02:48:02,-13.2,49.05,75.31,94,100,1.52,overcast clouds
10,Naze,JP,2022-01-13 02:48:02,28.3667,129.4833,56.32,64,100,17.11,overcast clouds
11,Cabo San Lucas,MX,2022-01-13 02:46:44,22.8909,-109.9124,75.51,73,100,3.96,overcast clouds
12,Solwezi,ZM,2022-01-13 02:48:03,-12.1688,26.3894,62.17,97,100,4.79,overcast clouds
13,Cervo,ES,2022-01-13 02:48:03,43.6702,-7.4101,33.19,80,2,17.72,clear sky
14,Avarua,CK,2022-01-13 02:48:03,-21.2078,-159.775,82.45,74,75,13.8,broken clouds
15,Porto Novo,BJ,2022-01-13 02:48:04,6.4965,2.6036,84.02,85,84,6.33,light rain
16,Jamestown,US,2022-01-13 02:43:11,42.097,-79.2353,33.39,63,100,0.0,overcast clouds
17,Ancud,CL,2022-01-13 02:48:04,-41.8697,-73.8203,57.22,92,2,4.74,clear sky
18,Cidreira,BR,2022-01-13 02:47:47,-30.1811,-50.2056,73.06,82,0,14.38,clear sky
19,Mnogovershinnyy,RU,2022-01-13 02:48:04,53.9353,139.9242,7.99,92,100,7.65,overcast clouds
20,Flinders,AU,2022-01-13 02:48:05,-34.5833,150.8552,78.08,79,66,8.68,light rain
21,Arraial Do Cabo,BR,2022-01-13 02:48:05,-22.9661,-42.0278,75.67,90,100,2.37,overcast clouds
22,Busselton,AU,2022-01-13 02:48:05,-33.65,115.3333,79.32,47,6,9.48,clear sky
23,Paamiut,GL,2022-01-13 02:48:06,61.994,-49.6678,6.35,84,46,12.71,scattered clouds
24,Ribeira Grande,PT,2022-01-13 02:48:06,38.5167,-28.7,61.2,76,6,14.41,clear sky
25,Nikolskoye,RU,2022-01-13 02:48:06,59.7035,30.7861,28.87,94,100,13.31,snow
26,Sisimiut,GL,2022-01-13 02:48:07,66.9395,-53.6735,13.78,82,100,7.43,light snow
27,Sandakan,MY,2022-01-13 02:48:07,5.8402,118.1179,83.88,74,40,10.0,scattered clouds
28,Bengkulu,ID,2022-01-13 02:48:07,-3.8004,102.2655,83.32,66,30,2.95,scattered clouds
29,La Ronge,CA,2022-01-13 02:48:07,55.1001,-105.2842,12.45,79,75,5.75,broken clouds
30,Barrow,US,2022-01-13 02:48:08,71.2906,-156.7887,-9.38,70,20,8.05,few clouds
31,Ushuaia,AR,2022-01-13 02:48:08,-54.8,-68.3,44.26,70,75,19.57,broken clouds
32,Jijiang,CN,2022-01-13 02:48:09,29.2906,106.2542,53.49,71,100,3.0,overcast clouds
33,Vaini,TO,2022-01-13 02:48:09,-21.2,-175.2,78.96,100,75,5.75,light intensity shower rain
34,Pevek,RU,2022-01-13 02:48:09,69.7008,170.3133,-19.35,96,28,1.5,scattered clouds
35,Castro,BR,2022-01-13 02:48:10,-24.7911,-50.0119,61.48,97,69,4.92,broken clouds
36,Miri,MY,2022-01-13 02:45:09,4.4148,114.0089,82.54,83,40,12.66,scattered clouds
37,Hithadhoo,MV,2022-01-13 02:48:10,-0.6,73.0833,82.47,73,100,7.78,overcast clouds
38,Makakilo City,US,2022-01-13 02:48:10,21.3469,-158.0858,79.12,69,100,6.91,overcast clouds
39,Mataura,NZ,2022-01-13 02:48:11,-46.1927,168.8643,60.48,41,10,6.29,clear sky
40,Port Alfred,ZA,2022-01-13 02:48:11,-33.5906,26.891,70.63,88,97,13.78,overcast clouds
41,Kapaa,US,2022-01-13 02:48:11,22.0752,-159.319,76.98,76,100,1.01,overcast clouds
42,Hasaki,JP,2022-01-13 02:48:12,35.7333,140.8333,50.29,44,100,11.23,overcast clouds
43,Yumen,CN,2022-01-13 02:48:12,40.2833,97.2,23.58,42,100,10.25,overcast clouds
44,Bluff,NZ,2022-01-13 02:48:12,-46.6,168.3333,60.8,70,58,6.78,broken clouds
45,Eskil,TR,2022-01-13 02:48:12,38.4017,33.4131,32.63,96,100,14.97,snow
46,Vestmanna,FO,2022-01-13 02:49:13,62.1564,-7.1664,47.32,93,100,19.57,overcast clouds
47,Talnakh,RU,2022-01-13 02:49:13,69.4865,88.3972,-9.8,97,100,13.85,light snow
48,Voh,NC,2022-01-13 02:49:13,-20.9667,164.7,83.97,71,47,12.82,scattered clouds
49,Kutum,SD,2022-01-13 02:49:14,14.2,24.6667,67.91,35,78,4.21,broken clouds
50,Marzuq,YE,2022-01-13 02:49:14,14.4,46.4667,58.6,54,10,1.86,clear sky
51,Beringovskiy,RU,2022-01-13 02:49:14,63.05,179.3167,-13.31,93,35,10.65,scattered clouds
52,Butaritari,KI,2022-01-13 02:49:15,3.0707,172.7902,82.76,78,14,15.86,few clouds
53,Komsomolskiy,UZ,2022-01-13 02:49:15,40.4272,71.7189,36.32,48,100,9.22,overcast clouds
54,Torbay,CA,2022-01-13 02:45:33,47.6666,-52.7314,22.26,78,75,12.66,broken clouds
55,Port Elizabeth,ZA,2022-01-13 02:49:15,-33.918,25.5701,70.11,83,100,6.91,overcast clouds
56,Saskylakh,RU,2022-01-13 02:49:16,71.9167,114.0833,-36.17,100,70,5.21,broken clouds
57,Thompson,CA,2022-01-13 02:49:16,55.7435,-97.8558,-23.64,76,0,3.44,clear sky
58,Mar Del Plata,AR,2022-01-13 02:48:34,-38.0023,-57.5575,71.1,73,0,3.0,clear sky
59,Nishihara,JP,2022-01-13 02:49:16,26.1842,127.7558,58.68,76,75,17.27,broken clouds
60,Faanui,PF,2022-01-13 02:49:17,-16.4833,-151.75,78.01,84,100,15.64,light rain
61,Yellowknife,CA,2022-01-13 02:49:17,62.456,-114.3525,-7.58,84,100,5.75,light snow
62,Shitanjing,CN,2022-01-13 02:49:17,39.2342,106.3439,19.4,39,0,7.16,clear sky
63,Bredasdorp,ZA,2022-01-13 02:49:18,-34.5322,20.0403,68.29,77,100,13.8,overcast clouds
64,Bay Roberts,CA,2022-01-13 02:49:18,47.5999,-53.2648,22.05,76,100,3.0,overcast clouds
65,Georgetown,MY,2022-01-13 02:49:18,5.4112,100.3354,84.13,58,20,1.01,few clouds
66,Qasigiannguit,GL,2022-01-13 02:49:19,68.8193,-51.1922,12.45,92,94,6.46,overcast clouds
67,Saint-Philippe,RE,2022-01-13 02:49:19,-21.3585,55.7679,76.59,84,100,10.56,light rain
68,Cedar City,US,2022-01-13 02:49:19,37.6775,-113.0619,40.39,60,0,5.75,clear sky
69,Sharkan,RU,2022-01-13 02:49:19,57.2989,53.8712,-7.74,100,26,3.98,scattered clouds
70,Broome,US,2022-01-13 02:49:20,42.2506,-75.833,33.91,74,100,1.99,overcast clouds
71,Klaksvik,FO,2022-01-13 02:49:20,62.2266,-6.589,49.12,89,100,39.55,overcast clouds
72,Dikson,RU,2022-01-13 02:49:20,73.5069,80.5464,-2.04,94,100,20.49,light snow
73,Loukhi,RU,2022-01-13 02:49:21,66.0764,33.0381,32.2,94,100,11.65,light snow
74,Mount Isa,AU,2022-01-13 02:49:21,-20.7333,139.5,96.57,34,40,10.36,scattered clouds
75,Sept-Iles,CA,2022-01-13 02:48:16,50.2001,-66.3821,0.03,83,40,1.01,scattered clouds
76,Ostrovnoy,RU,2022-01-13 02:49:21,68.0531,39.5131,26.42,87,100,24.36,overcast clouds
77,Fortuna,US,2022-01-13 02:49:22,40.5982,-124.1573,56.32,82,0,1.99,clear sky
78,Ngunguru,NZ,2022-01-13 02:49:22,-35.6167,174.5,76.15,68,0,16.6,clear sky
