City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,46.06,49,75,26.46,AR,2022-01-09 16:55:59
1,Meulaboh,4.1363,96.1285,76.91,87,100,3.15,ID,2022-01-09 16:58:57
2,Rikitea,-23.1203,-134.9692,77.99,76,100,19.84,PF,2022-01-09 16:58:57
3,Abu Samrah,35.3029,37.1841,55.24,59,10,2.93,SY,2022-01-09 16:58:58
4,Cockburn Town,21.4612,-71.1419,82.36,74,40,16.11,TC,2022-01-09 16:58:58
5,Punta Arenas,-53.15,-70.9167,51.91,54,75,16.11,CL,2022-01-09 16:58:58
6,Lujan,-34.5703,-59.105,86.04,20,10,8.08,AR,2022-01-09 16:58:58
7,Vaini,-21.2,-175.2,75.36,94,100,4.61,TO,2022-01-09 16:58:59
8,Hermanus,-34.4187,19.2345,82.9,81,99,10.56,ZA,2022-01-09 16:56:41
9,Port Blair,11.6667,92.75,79.21,71,34,8.84,IN,2022-01-09 16:58:59
10,Seymour,38.9592,-85.8903,42.85,88,100,11.99,US,2022-01-09 16:59:00
11,Guaruja,-23.9931,-46.2564,74.8,57,100,8.05,BR,2022-01-09 16:59:00
12,Bluff,-46.6,168.3333,57.79,97,100,6.6,NZ,2022-01-09 16:59:00
13,Muli,2.9167,73.5667,81.91,74,92,10.56,MV,2022-01-09 16:59:00
14,Mataura,-46.1927,168.8643,57.47,99,98,2.1,NZ,2022-01-09 16:59:01
15,Caravelas,-17.7125,-39.2481,81.0,85,100,8.1,BR,2022-01-09 16:59:01
16,Shetpe,44.1667,52.1167,31.75,87,40,13.69,KZ,2022-01-09 16:59:01
17,Sorland,67.667,12.6934,33.66,68,10,13.18,NO,2022-01-09 16:59:02
18,Marfino,55.7028,37.3822,21.34,85,100,8.95,RU,2022-01-09 16:59:02
19,Arraial Do Cabo,-22.9661,-42.0278,73.36,88,75,4.61,BR,2022-01-09 16:59:02
20,San Luis,-33.295,-66.3356,96.42,17,54,6.26,AR,2022-01-09 16:59:03
21,Airai,-8.9266,125.4092,61.18,92,87,1.3,TL,2022-01-09 16:59:03
22,Haines Junction,60.7522,-137.5108,-20.25,69,100,2.3,CA,2022-01-09 16:59:03
23,Arica,-18.475,-70.3042,81.95,60,0,11.5,CL,2022-01-09 16:59:04
24,Marzuq,14.4,46.4667,65.57,41,35,2.73,YE,2022-01-09 16:59:04
25,Fairbanks,64.8378,-147.7164,-18.4,66,0,6.91,US,2022-01-09 16:56:01
26,Werneck,49.9833,10.1,38.35,90,100,8.08,DE,2022-01-09 16:59:04
27,Freeport,40.6576,-73.5832,42.39,67,99,14.0,US,2022-01-09 16:57:23
28,Gat,31.61,34.7642,59.68,31,100,11.77,IL,2022-01-09 16:59:05
